first,last,id.bioguide,current_type,current_party,current_state,term_start,term_end,social.youtube,social.youtube_id,social.twitter,social.twitter_id,social.instagram,social.instagram_id,social.facebook
Aumua Amata,Radewagen,R000600,rep,Republican,AS,2025-01-03,2027-01-03,,UCGdrLQbt1PYDTPsampx4t1A,RepAmata,3026622545.0,,,aumuaamata
Todd,Young,Y000064,sen,Republican,IN,2023-01-03,2029-01-03,RepToddYoung,UCuknj4PGn91gHDNAfboZEgQ,SenToddYoung,234128524.0,sentoddyoung,,SenatorToddYoung
Joni,Ernst,E000295,sen,Republican,IA,2021-01-03,2027-01-03,,UCLwrmtF_84FIcK3TyMs4MIw,SenJoniErnst,2856787757.0,senjoniernst,1582702853.0,senjoniernst
Thom,Tillis,T000476,sen,Republican,NC,2021-01-03,2027-01-03,,UCUD9VGV4SSGWjGdbn37Ea2w,SenThomTillis,2964174789.0,senthomtillis,,SenatorThomTillis
Steve,Womack,W000809,rep,Republican,AR,2025-01-03,2027-01-03,CongressmanWomack,UCXJbUDLYX-wGIhRuN66hqZw,Rep_SteveWomack,234469322.0,rep_stevewomack,,RepSteveWomack
Frederica,Wilson,W000808,rep,Democrat,FL,2025-01-03,2027-01-03,repfredericawilson,UCP5QBhng_lHv-vJgE_h7lpA,RepWilson,234014087.0,repwilson,,RepWilson
Daniel,Webster,W000806,rep,Republican,FL,2025-01-03,2027-01-03,repdanwebster,UCCoX4VdU7U11eGEA0lbRtLw,RepWebster,281540744.0,,,RepWebster
Mark,Warner,W000805,sen,Democrat,VA,2021-01-03,2027-01-03,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,MarkWarner,7429102.0,senatorwarner,515327940.0,MarkRWarner
Robert,Wittman,W000804,rep,Republican,VA,2025-01-03,2027-01-03,RobWittman,UCIqIb-OaTbkIdU426eYIdPg,RobWittman,15356407.0,reprobwittman,,RepRobWittman
Sheldon,Whitehouse,W000802,sen,Democrat,RI,2025-01-03,2031-01-03,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,SenWhitehouse,242555999.0,SenWhitehouse,,SenatorWhitehouse
Peter,Welch,W000800,sen,Democrat,VT,2023-01-03,2029-01-03,reppeterwelch,UC0YfApJx6qNaAQ-ir93U8xA,PeterWelch,1410590874.0,reppeterwelch,1559860900.0,PeterWelch
Tim,Walberg,W000798,rep,Republican,MI,2025-01-03,2027-01-03,RepWalberg,UChpf3_3Wn8f3qSJbsYXrhvg,RepWalberg,237862972.0,repwalberg,,RepWalberg
Debbie,Wasserman Schultz,W000797,rep,Democrat,FL,2025-01-03,2027-01-03,RepWassermanSchultz,UCfHQiJVvMlYbVAxrMSLdO4w,RepDWStweets,1140648348.0,RepDWSTweets,,RepDWS
Joe,Wilson,W000795,rep,Republican,SC,2025-01-03,2027-01-03,RepJoeWilson,UC3aR1B8m7Z1uycO65yDnpCg,RepJoeWilson,254082173.0,repjoewilson,519685522.0,JoeWilson
Ron,Wyden,W000779,sen,Democrat,OR,2023-01-03,2029-01-03,senronwyden,UCsd3UEaoLoqX60P88BdpGGw,RonWyden,250188760.0,ronwyden,9443881.0,senatorronwyden
Roger,Wicker,W000437,sen,Republican,MS,2025-01-03,2031-01-03,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,SenatorWicker,264219447.0,senatorwicker,367948073.0,SenatorWicker
Maxine,Waters,W000187,rep,Democrat,CA,2025-01-03,2027-01-03,MaxineWaters,UCOQ2js1VYFlo74n7Ns8WsLQ,RepMaxineWaters,36686040.0,repmaxinewaters,,MaxineWaters
Chris,Van Hollen,V000128,sen,Democrat,MD,2023-01-03,2029-01-03,RepChrisVanHollen,UCkpfJWu1N9Okd6PE_NidtBQ,ChrisVanHollen,18137749.0,chrisvanhollen,268595235.0,chrisvanhollen
Nydia,Velázquez,V000081,rep,Democrat,NY,2025-01-03,2027-01-03,nydiavelazquez,UCqMKPkKeeHFOOiZ9vxhXGVg,NydiaVelazquez,164369297.0,,,8037068318
Paul,Tonko,T000469,rep,Democrat,NY,2025-01-03,2027-01-03,reppaultonko,UC3P2SGFmmuCYRsjeso0hOQQ,RepPaulTonko,84119348.0,reppaultonko,,reppaultonko
Dina,Titus,T000468,rep,Democrat,NV,2025-01-03,2027-01-03,CongresswomanTitus,UC_US4jNqECuMSNrB7yVCbbw,RepDinaTitus,122174004.0,dinatitusnv,1110185253.0,CongresswomanTitus
Glenn,Thompson,T000467,rep,Republican,PA,2025-01-03,2027-01-03,CongressmanGT,UCNWX7lbWWvnNdzVMFI9DRiQ,CongressmanGT,18967498.0,congressman_gt,,CongressmanGT
Michael,Turner,T000463,rep,Republican,OH,2025-01-03,2027-01-03,CongressmanTurner,UC-6Ss-aZ3OPisf9GdVGtN8g,RepMikeTurner,51228911.0,repmiketurner,,RepMikeTurner
Mike,Thompson,T000460,rep,Democrat,CA,2025-01-03,2027-01-03,CongressmanMThompson,UC6pGbtqHZYZmScFGSz5bbdg,RepThompson,303861808.0,,,RepMikeThompson
John,Thune,T000250,sen,Republican,SD,2023-01-03,2029-01-03,johnthune,UCRu6lpRfxhkDGUrKDgQNZYQ,SenJohnThune,296361085.0,senjohnthune,,LeaderJohnThune
Bennie,Thompson,T000193,rep,Democrat,MS,2025-01-03,2027-01-03,RepBennieThompson,UCzt2pBxh0dI24kYrWretXRw,BennieGThompson,82453460.0,benniegthompson,347410575.0,CongressmanBennieGThompson
Austin,Scott,S001189,rep,Republican,GA,2025-01-03,2027-01-03,RepAustinScott,UC5M7eKHKQStktMyjieiHYZQ,AustinScottGA08,234797704.0,,,RepAustinScott
Terri,Sewell,S001185,rep,Democrat,AL,2025-01-03,2027-01-03,RepSewell,UCHkEHtfrfUWOFtbUFQTQH7Q,RepTerriSewell,381152398.0,repterriasewell,,RepSewell
Tim,Scott,S001184,sen,Republican,SC,2023-01-03,2029-01-03,SenatorTimScott,UCSfAsbG80CNInSKrtpKoL-w,SenatorTimScott,217543151.0,SenatorTimScott,,SenatorTimScott
David,Schweikert,S001183,rep,Republican,AZ,2025-01-03,2027-01-03,RepDavidSchweikert,UCVvuNVzkOUp7p_Pzkc6Zuvw,RepDavid,229197216.0,repdavid,181147397.0,repdavidschweikert
Jeanne,Shaheen,S001181,sen,Democrat,NH,2021-01-03,2027-01-03,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,SenatorShaheen,109287731.0,senatorshaheen,,SenatorShaheen
Steve,Scalise,S001176,rep,Republican,LA,2025-01-03,2027-01-03,RepSteveScalise,UCmYveHBVXVBRxl7GiCL-gjw,SteveScalise,1209417007.0,stevescalise,1210937919.0,RepSteveScalise
Adrian,Smith,S001172,rep,Republican,NE,2025-01-03,2027-01-03,RepAdrianSmith,UCIgn2z-hwxx_aeggnyhv54Q,RepAdrianSmith,296245061.0,RepAdrianSmith,,repadriansmith
David,Scott,S001157,rep,Democrat,GA,2025-01-03,2027-01-03,RepDavidScott,UCgf28zRkLSqAUiPuJhGdF0w,RepDavidScott,168673083.0,RepDavidScott,,113303673339
Linda,Sánchez,S001156,rep,Democrat,CA,2025-01-03,2027-01-03,LindaTSanchez,UCu1K6uHxjMgj2mvzM7O9-ow,RepLindaSanchez,312134473.0,replindasanchez,,CongresswomanLindaSanchez
Michael,Simpson,S001148,rep,Republican,ID,2025-01-03,2027-01-03,CongMikeSimpson,UCNXe0rJJeULTAP_7oyQNw8g,CongMikeSimpson,76132891.0,congressmanmikesimpson,,96007744606
Janice,Schakowsky,S001145,rep,Democrat,IL,2025-01-03,2027-01-03,repschakowsky,UCuCHHPSENUEaaeH8n_CYDXQ,JanSchakowsky,24195214.0,JanSchakowsky,,janschakowsky
